"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","RT @immigrant4trump: Hillary worst candidate in our lifetime, 3 Strikes You're Outta Here #Trump #Maga https://t.co/GKXkckugaL",FALSE,0,NA,2016-12-19 05:22:44,FALSE,NA,"810716978956607488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GiftsAndTalents",125,TRUE,FALSE,NA,NA,"South Carolina, USA","en","http://pbs.twimg.com/profile_images/649467411/8339_normal.jpg"
"2","RT @immigrant4trump: Black Republican Father-Daughter Duo to Cast Michigan Electoral Votes For Trump ‘I make no apologies’ #MAGA #TRUMP htt…",FALSE,0,NA,2016-12-19 05:22:39,FALSE,NA,"810716957968306176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pat_constantino",306,TRUE,FALSE,NA,NA,"Meridian, MS","en","http://pbs.twimg.com/profile_images/801485818267402240/IlN54ifN_normal.jpg"
"3","RT @immigrant4trump: Black Republican Father-Daughter Duo to Cast Michigan Electoral Votes For Trump ‘I make no apologies’ #MAGA #TRUMP htt…",FALSE,0,NA,2016-12-19 05:22:29,FALSE,NA,"810716916365004800",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","influx_Divine",306,TRUE,FALSE,NA,NA,"Berkeley CA","en","http://pbs.twimg.com/profile_images/557458268272861184/LchF0pSe_normal.jpeg"
"4","RT @immigrant4trump: VIDEO: Hilarious Trump Christmas Parody: It’s The Most Wonderful Time in 8 Years #Maga #Trump https://t.co/LoIdtMtBeo",FALSE,0,NA,2016-12-19 05:22:21,FALSE,NA,"810716882751934464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","switt1181",56,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/497822485039951872/MWohxPFt_normal.jpeg"
"5","RT @immigrant4trump: Hillary worst candidate in our lifetime, 3 Strikes You're Outta Here #Trump #Maga https://t.co/GKXkckugaL",FALSE,0,NA,2016-12-19 05:22:19,FALSE,NA,"810716874052947968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","moonfierys_shop",125,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/808863334267285510/Q8LXVyMw_normal.jpg"
"6","RT @immigrant4trump: Black Republican Father-Daughter Duo to Cast Michigan Electoral Votes For Trump ‘I make no apologies’ #MAGA #TRUMP htt…",FALSE,0,NA,2016-12-19 05:22:10,FALSE,NA,"810716835431776256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","9975Ts",306,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/692567851752898566/vJxHw360_normal.jpg"
"7","RT @immigrant4trump: Black Republican Father-Daughter Duo to Cast Michigan Electoral Votes For Trump ‘I make no apologies’ #MAGA #TRUMP htt…",FALSE,0,NA,2016-12-19 05:22:05,FALSE,NA,"810716812795117568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lugoginger",306,TRUE,FALSE,NA,NA,"South Carolina, USA","en","http://pbs.twimg.com/profile_images/788593374861332481/e_KpLAam_normal.jpg"
"8","RT @immigrant4trump: NFL Legend Jim Brown DESTROYS CNN For saying Trump’s Cabinet is ""Mostly White"" #Maga #Trump @LouDobbs https://t.co/647…",FALSE,0,NA,2016-12-19 05:21:56,FALSE,NA,"810716775088324608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sandiv11",2445,TRUE,FALSE,NA,NA,"NY","en","http://pbs.twimg.com/profile_images/671194417357656064/GSH3jh-z_normal.jpg"
"9","RT @JoltedToad: Sen. Barbara Boxer's request to have Trump Model Management investigated. At least 3 models worked without visas
#Trump #Tr…",FALSE,0,NA,2016-12-19 05:21:40,FALSE,NA,"810716708193308672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","julieduzyoga",33,TRUE,FALSE,NA,NA,"MN","en","http://pbs.twimg.com/profile_images/804450082330439681/Or7Y542o_normal.jpg"
"10","RT @JoltedToad: Sen. Barbara Boxer's request to have Trump Model Management investigated. At least 3 models worked without visas
#Trump #Tr…",FALSE,0,NA,2016-12-19 05:21:33,FALSE,NA,"810716679885955078",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dollyllamaX",33,TRUE,FALSE,NA,NA,"Mostly Earth ","en","http://pbs.twimg.com/profile_images/741419701503438849/5rd59vQc_normal.jpg"
