"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","RT @XTraceyAnn: Soon! @fjromano #RussianHacking #Liberallogic #MAGA #Trump #Winning #UniteForAmerica #RedNationRising https://t.co/8As76B9c…",FALSE,0,NA,2016-12-19 04:33:15,FALSE,NA,"810704525359251457",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","9975Ts",17,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/692567851752898566/vJxHw360_normal.jpg"
"2","RT @DumpTrump22: #Trump has broken every law and principle without repercussions throughout his life.

Can we really hope this will turn ou…",FALSE,0,NA,2016-12-19 04:33:06,FALSE,NA,"810704486951854080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TwistedKMT",274,TRUE,FALSE,NA,NA,"California, USA","en","http://pbs.twimg.com/profile_images/800880623875289088/8zvKQpfj_normal.jpg"
"3","RT @DumpTrump22: Lie after Lie after Lie?

#Trump wears down the American people with a new batch of lies every week https://t.co/WRGWZ2wSqz",FALSE,0,NA,2016-12-19 04:32:54,FALSE,NA,"810704435051692032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChrisRocca2",81,TRUE,FALSE,NA,NA,"Delaware, ohio","en","http://pbs.twimg.com/profile_images/757393692944662528/MljTKthZ_normal.jpg"
"4","RT @DumpTrump22: Lie after Lie after Lie?

#Trump wears down the American people with a new batch of lies every week https://t.co/WRGWZ2wSqz",FALSE,0,NA,2016-12-19 04:32:47,FALSE,NA,"810704405225836548",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AmeliaJL",81,TRUE,FALSE,NA,NA,"United States","en","http://pbs.twimg.com/profile_images/810331580505784320/QaVAkECJ_normal.jpg"
"5","RT @DougBarasch: I was wondering when someone would do a super cut of #Trump praising Clinton over the years. #JimmyKimmel #TrumpEndorsesCl…",FALSE,0,NA,2016-12-19 04:32:10,FALSE,NA,"810704251114651649",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","BertiePelham",1,TRUE,FALSE,NA,NA,"Hilo, Hawai'i - Safe House","en","http://pbs.twimg.com/profile_images/810595126003335168/_piavcTX_normal.jpg"
"6","In what world is it morally justifiable 4  journalists covering this particular President elect to be socializing w… https://t.co/wa7p1b7R9r",FALSE,0,NA,2016-12-19 04:32:07,TRUE,NA,"810704238720454656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cairo67Unedited",0,FALSE,FALSE,NA,NA,"New York City","en","http://pbs.twimg.com/profile_images/729259353199542272/7zJLggCO_normal.jpg"
"7","In Poland, a window on what happens when populists come to power https://t.co/kbHqlzqBNk  #Poland #Trump #Fascists  #Liars",FALSE,1,NA,2016-12-19 04:31:11,FALSE,NA,"810704005101981696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DavidRomeiPHD",0,FALSE,FALSE,NA,NA,"Greater NYC","en","http://pbs.twimg.com/profile_images/747903351556169728/DZw9BNtv_normal.jpg"
"8","""Off-record""? After 140 days being off-record @mikeallen, surely it's 'off-off-record' w/PEOTUS #Trump...who plays… https://t.co/oDhvbE2hZV",FALSE,0,NA,2016-12-19 04:31:09,TRUE,NA,"810703995421544449",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Truthbuster",0,FALSE,FALSE,NA,NA,"New York, NY","en","http://pbs.twimg.com/profile_images/720309972484038656/2M-h97pn_normal.jpg"
"9","RT @true_pundit: Canada Says Only 28 Americans Have Applied for Trump-Related Refugee Status #Trump #TruePundit

https://t.co/B3yQgwrfrI",FALSE,0,NA,2016-12-19 04:30:19,FALSE,NA,"810703788558274560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Maku1316",71,TRUE,FALSE,NA,NA,"California, USA","en","http://pbs.twimg.com/profile_images/799828116495446017/IPv_kboo_normal.jpg"
"10","RT @DumpTrump22: Lie after Lie after Lie?

#Trump wears down the American people with a new batch of lies every week https://t.co/WRGWZ2wSqz",FALSE,0,NA,2016-12-19 04:29:21,FALSE,NA,"810703543841632256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Stop_the_Morons",81,TRUE,FALSE,NA,NA,"California USA","en","http://pbs.twimg.com/profile_images/809496105285058561/Bm6NDAgx_normal.jpg"
