"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","RT @Greg_Palast: There's zero doubt that #Trump lost #Michigan — and not by a small margin! https://t.co/DVriNODYOw
#RecountMI #HamiltonEle…",FALSE,0,NA,2016-12-19 05:11:57,FALSE,NA,"810714262188371973",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","asiko3marie",771,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/653003608032587776/0gcdpGJa_normal.jpg"
"2","RT @Greg_Palast: ""In many key states, the number of people purged by #Crosscheck was much, much larger than #Trump’s margin of victory.” —…",FALSE,0,NA,2016-12-19 05:11:50,FALSE,NA,"810714232471683072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Primusfan87",1431,TRUE,FALSE,NA,NA,"Santa Rosa, California","en","http://pbs.twimg.com/profile_images/808527458597105664/KCSPUKGP_normal.jpg"
"3","RT @JackiSchechner: Let me get this straight. #Trump spends 16 months calling media the world's worst humans, and they agree to eat and han…",FALSE,0,NA,2016-12-19 05:10:24,FALSE,NA,"810713873116524545",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","williamdg",6,TRUE,FALSE,NA,NA,"Denver, CO","en","http://pbs.twimg.com/profile_images/3512988335/ecfe223af895dd4331ec5c53c10cff2a_normal.jpeg"
"4","RT @KyleNeven1: I am no longer saying #merrychristmas, not until #PutinsPuppet #PresidentElect #Trump is impeached. Until then it's #MerryC…",FALSE,0,NA,2016-12-19 05:10:11,FALSE,NA,"810713820138270720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mejay227",3,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/770365533770350596/uIPSq_BJ_normal.jpg"
"5","Sorry Carl. I'm watching #SoundOfMusic and voted #Trump. I'm #GaysForTrump which means I'm 70% Maria and 30% Barone… https://t.co/X8whndYyBZ",FALSE,1,NA,2016-12-19 05:07:54,TRUE,NA,"810713244876705793",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThomasSSchmitz",0,FALSE,FALSE,NA,NA,"Los Angeles,CA","en","http://pbs.twimg.com/profile_images/594238598477516801/aDPum1Eb_normal.jpg"
"6","RT @Greg_Palast: There's zero doubt that #Trump lost #Michigan — and not by a small margin! https://t.co/DVriNODYOw
#RecountMI #HamiltonEle…",FALSE,0,NA,2016-12-19 05:07:27,FALSE,NA,"810713131282403328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jeffries_anne",771,TRUE,FALSE,NA,NA,"Los Angeles, CA","en","http://pbs.twimg.com/profile_images/681361837732921344/_o4cGpy7_normal.jpg"
"7","America should've put #Trump in the friend-zone!",FALSE,0,NA,2016-12-19 05:06:05,FALSE,NA,"810712788997783552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Iamdavegregory",0,FALSE,FALSE,NA,NA,"Pasadena, CA","en","http://pbs.twimg.com/profile_images/756972213480267776/dgif4IHV_normal.jpg"
"8","RT @JackiSchechner: @JoyAnnReid and b/c we don't need press to be having off-the-record chats. we need press to confront #Trump on the reco…",FALSE,0,NA,2016-12-19 05:04:57,FALSE,NA,"810712500861800448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ebayjick",2,TRUE,FALSE,NA,NA,"Arizona","en","http://pbs.twimg.com/profile_images/378800000794713706/40bd856c4d3785f6dca39acddb065ea1_normal.jpeg"
"9","@JoyAnnReid and b/c we don't need press to be having off-the-record chats. we need press to confront #Trump on the record.",FALSE,10,"JoyAnnReid",2016-12-19 05:03:45,FALSE,"810711459307069440","810712201631821824","49698134","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JackiSchechner",2,FALSE,FALSE,NA,NA,"Los Angeles","en","http://pbs.twimg.com/profile_images/512237823693701120/YWAEcx9z_normal.jpeg"
"10","RT @KyleNeven1: I am no longer saying #merrychristmas, not until #PutinsPuppet #PresidentElect #Trump is impeached. Until then it's #MerryC…",FALSE,0,NA,2016-12-19 05:02:57,FALSE,NA,"810712000120680450",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LibAmericaOrg",3,TRUE,FALSE,NA,NA,"Liberal America","en","http://pbs.twimg.com/profile_images/430128280146935808/qsEGZIhm_normal.png"
