"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","Love #Trump Ì†ΩÌ∏É‚ù§Ô∏èÌ†ºÌ∑∫Ì†ºÌ∑∏Ì†ΩÌ±ç #TrumpPresident #MakeAmericaGreatAgain #TrumpTrain #MAGA #VPEOTUS #PEOTUS #AmericaFirst Ì†ºÌ∑∫Ì†ºÌ∑∏Ì†ºÌ∑∫Ì†ºÌ∑∏Ì†ºÌ∑∫Ì†ºÌ∑∏Ì†ºÌ∑∫Ì†ºÌ∑∏‚Ä¶ https://t.co/O9uCtVEQUn",FALSE,0,NA,2016-12-19 05:18:06,TRUE,NA,"810715810926854145",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BelkysSpainUSA",0,FALSE,FALSE,NA,NA,"Miami, FL","es","http://pbs.twimg.com/profile_images/801241040984358912/AEwFthmn_normal.jpg"
"2","Surprise!!! #Trump #JohnnyDepp https://t.co/BVyCCrQMR3",FALSE,0,NA,2016-12-19 05:10:45,FALSE,NA,"810713962304114688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abelnine",0,FALSE,FALSE,NA,NA,"Miami Beach, FL","en","http://pbs.twimg.com/profile_images/747465622427054080/-jNkGtLD_normal.jpg"
"3","RT @ksecus: #Trump is dropping like a stone in the polls. America finally realizing this guy is a loonytoon. Its over dude. You have no sho‚Ä¶",FALSE,0,NA,2016-12-19 05:00:12,FALSE,NA,"810711306990981120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Alexandragh2156",10,TRUE,FALSE,NA,NA,"","ru","http://pbs.twimg.com/profile_images/808699171544977412/COs4QSnW_normal.jpg"
"4","@TrumpInaugural Love our 45th President @realDonaldTrump  ‚ù§Ô∏èÌ†ΩÌ±çÌ†ºÌ∑∫Ì†ºÌ∑∏ #TrumpPresident #MAGA #TrumpTrain #VPEOTUS #PEOTUS‚Ä¶ https://t.co/7mubrfs0m4",FALSE,0,"TrumpInaugural",2016-12-19 04:52:51,TRUE,"810659585480593408","810709458817024001","804883120193466368","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BelkysSpainUSA",0,FALSE,FALSE,NA,NA,"Miami, FL","es","http://pbs.twimg.com/profile_images/801241040984358912/AEwFthmn_normal.jpg"
"5","@realDonaldTrump WTF is wrong with you.Are you so F'ing stupid to think you can mess with China and they will not do anything. #Trump #IDIOT",FALSE,0,"realDonaldTrump",2016-12-19 04:36:40,FALSE,NA,"810705385686499328","25073877","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Chasbc",0,FALSE,FALSE,NA,NA,"Miami Fl","en","http://pbs.twimg.com/profile_images/589259826326208514/0eI5JRGp_normal.jpg"
"6","Electoral college members names by state. Know who they are.
#Trump #Hillary #Clinton #Democrat #Republican #liberal
https://t.co/ELTrzDCcpP",FALSE,1,NA,2016-12-19 04:33:54,FALSE,NA,"810704687246802944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AdamOsiason",0,FALSE,FALSE,NA,NA,"Miami, FL","en","http://pbs.twimg.com/profile_images/748353255512518656/vjj3GgSe_normal.jpg"
"7","Best dating site #Chicaslatina #Seniordating #hottie
#Lonely #Lonelytonight #Meetup #singlesistes #datingadvise‚Ä¶ https://t.co/W8JDdIRn9Y",FALSE,0,NA,2016-12-19 04:23:34,TRUE,NA,"810702086245597185",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","latineuro",0,FALSE,FALSE,NA,NA,"Miami, FL","en","http://pbs.twimg.com/profile_images/316845561/Vania_Santos_tw_normal.jpg"
"8","Pretty confident American #media has been telling us the same thing for quite some time. #Trump https://t.co/HWRktbxQnX",FALSE,0,NA,2016-12-19 03:55:21,FALSE,NA,"810694986656337920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BillyHobden1",0,FALSE,FALSE,NA,NA,"Boca Raton, FL","en","http://pbs.twimg.com/profile_images/739189646001721344/YL7Opsaa_normal.jpg"
"9","RT @TruckChampion: FCC Chairman Tom Wheeler is stepping down, setting the stage for a GOP majority on #Trump‚Äôs first day -  https://t.co/28‚Ä¶",FALSE,0,NA,2016-12-19 03:35:27,FALSE,NA,"810689978871246848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JJohnson2u",1,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/712194741283250176/8D_uOfas_normal.jpg"
"10","@sarahkendzior A President Trump is not a fluke; he embodies the worst of our national character. #Autocratic‚Ä¶ https://t.co/qpPr1Kpv4m",FALSE,0,"sarahkendzior",2016-12-19 03:30:49,TRUE,NA,"810688814427553792","47475039","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DocmskMarc",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/767699045271887872/LxQuz1rc_normal.jpg"
"11","TY .@jerrybrowngov! If #Trump shuts down satellite collectionOf #climatedata, #CA will launch itsOwnDamn #satellites https://t.co/dVaAUdPo9u",FALSE,0,NA,2016-12-19 03:25:56,FALSE,NA,"810687582929559553",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tinacornely",0,FALSE,FALSE,NA,NA,"Miami, Florida","en","http://pbs.twimg.com/profile_images/378800000728326520/610fc6afc603d71a4bb5274ec24e10e3_normal.jpeg"
"12","@pattonoswalt Totally agree. To all those excited for 2016 to end- really?    #trumpÌ†ΩÌ≤©stormcoming",FALSE,0,"pattonoswalt",2016-12-19 03:13:52,FALSE,"810645100917387264","810684548996628486","139162440","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThielCorey",0,FALSE,FALSE,NA,NA,"Fort Lauderdale, FL","en","http://pbs.twimg.com/profile_images/755975950618267648/peqq_WRr_normal.jpg"
"13","Same playbook the Democrats have used against Republicans for ever #Trump #cutitout #NoMoreLIES",FALSE,0,NA,2016-12-19 02:51:12,FALSE,NA,"810678841580654592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katie_style4",0,FALSE,FALSE,NA,NA,"Lake Worth, FL","en","http://pbs.twimg.com/profile_images/781975072047267841/fOQAL-93_normal.jpg"
"14","Capt. Von Trapp is like @Evan_McMullin and Liesl is a seduced #Trump voter, soon to be betrayed by a too-blond Nazi. #TheSoundofMusic",FALSE,1,NA,2016-12-19 02:50:12,FALSE,NA,"810678590270570502",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CheetoMussolini",0,FALSE,FALSE,NA,NA,"Palm Beach, FL","en","http://pbs.twimg.com/profile_images/710225315621158913/zHOFHmqS_normal.jpg"
"15","Google, Apple, Uber, IBM, Twitter, Facebook, &amp; Microsoft refuse to build #Trump's UNCONSTITUTIONAL Muslim database.   
#LoveTrumpsHate",FALSE,1,NA,2016-12-19 02:25:31,FALSE,NA,"810672377604481024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Soledad_Haren",0,FALSE,FALSE,NA,NA,"New York, LA, Miami","en","http://pbs.twimg.com/profile_images/705081434/Haren_Pic_normal.JPG"
"16","Donald #Trump Is Poised to Win Electoral College :...https://t.co/KZxclCQEOg",FALSE,0,NA,2016-12-19 02:22:06,FALSE,NA,"810671520800526337",NA,"<a href=""http://twitraf.ven.bz"" rel=""nofollow"">VenezuelaFlash</a>","UsaFlash",0,FALSE,FALSE,NA,NA,"Miami - USA","es","http://pbs.twimg.com/profile_images/1236900470/UsaFlash_normal.gif"
"17","@charliesheen has your Dad been visiting your ex-drug dealers lately? He must if he thinks his futile video is actu‚Ä¶ https://t.co/lKmHw6pFFH",FALSE,7,"charliesheen",2016-12-19 02:17:35,TRUE,NA,"810670383326232576","259379883","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TrumpForVets",3,FALSE,FALSE,NA,NA,"Deerfield Beach, FL","en","http://pbs.twimg.com/profile_images/725472189487550464/isrPVA2T_normal.jpg"
"18","#TechMeetUp: That feeling when #Trump says, you have 2 like me more. #1PhotoIs1000words #1PictureWorthABillionWords‚Ä¶ https://t.co/uxoh2gpLfu",FALSE,0,NA,2016-12-19 02:11:56,TRUE,NA,"810668960081387521",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tinacornely",0,FALSE,FALSE,NA,NA,"Miami, Florida","en","http://pbs.twimg.com/profile_images/378800000728326520/610fc6afc603d71a4bb5274ec24e10e3_normal.jpeg"
"19","@Stevenwhirsch99 Actually I'm a very proud American - thank God for #Trump!! Ì†ºÌ∑∫Ì†ºÌ∑∏",FALSE,1,"Stevenwhirsch99",2016-12-19 01:59:27,FALSE,"810641014998335488","810665820560965633","4261318354","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AdriaYabut",0,FALSE,FALSE,NA,NA,"Boynton Beach, FL","en","http://pbs.twimg.com/profile_images/780604802946531328/UDXvEUvJ_normal.jpg"
"20","RT @LawBlarg: One of the pictures that had to be replaced at OJ's home to make the jury like him more. #OJMadeInAmerica #Trump https://t.co‚Ä¶",FALSE,0,NA,2016-12-19 01:54:34,FALSE,NA,"810664591248261120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","J_BAIL3Y_",7,TRUE,FALSE,NA,NA,"Philadelphia, PA","en","http://pbs.twimg.com/profile_images/732658103133425664/Lb7pjtKW_normal.jpg"
"21","@CNNPolitics you people really will not stop! Donald J Trump is the 45th President of the United States! Period! Get over it! USA! #Trump",FALSE,4,"CNNPolitics",2016-12-19 01:45:07,FALSE,"810651871031468032","810662214180995076","13850422","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fmore93316",0,FALSE,FALSE,NA,NA,"Palm Beach, Florida ","en","http://pbs.twimg.com/profile_images/776981871603257344/toDeqYES_normal.jpg"
"22","When Donald #Trump Partied With Richard Nixon :...https://t.co/NQeAfa1K9r",FALSE,0,NA,2016-12-19 01:42:06,FALSE,NA,"810661455418785792",NA,"<a href=""http://twitraf.ven.bz"" rel=""nofollow"">VenezuelaFlash</a>","UsaFlash",0,FALSE,FALSE,NA,NA,"Miami - USA","es","http://pbs.twimg.com/profile_images/1236900470/UsaFlash_normal.gif"
"23","When #Trump looks in the mirror this is what he #Sees Classic #NPD #StopTrump #DefendDemocracy #TheResistance https://t.co/qsBgqlpqui",FALSE,1,NA,2016-12-19 01:14:40,FALSE,NA,"810654550084517888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DocmskMarc",1,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/767699045271887872/LxQuz1rc_normal.jpg"
"24","Coalition of 24 states urges #Trump to kill Obama's carbon emission plan. #environment https://t.co/ff8FZcfNS6 https://t.co/KhQIpTtgf3",FALSE,0,NA,2016-12-19 01:07:03,FALSE,NA,"810652631387541504",NA,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire App</a>","TruckChampion",0,FALSE,FALSE,NA,NA,"Fort Lauderdale, FL","en","http://pbs.twimg.com/profile_images/697916246415650816/SbaOvcW1_normal.jpg"
"25","@FoxBusiness Agree Ì†ΩÌ≤Ø Ì†ΩÌ±çÌ†ºÌ∑∫Ì†ºÌ∑∏Ì†ΩÌ±ç #TrumpPresident #AmericaFirst #MakeAmericaGreatAgain #TrumpTrain #MAGA #VPEOTUS #PEOTUS‚Ä¶ https://t.co/edNwcg7Oc4",FALSE,3,"FoxBusiness",2016-12-19 00:47:26,TRUE,"810640810534240257","810647694691696641","56413858","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BelkysSpainUSA",3,FALSE,FALSE,NA,NA,"Miami, FL","es","http://pbs.twimg.com/profile_images/801241040984358912/AEwFthmn_normal.jpg"
"26","#Putin turned #Russia's emerging Democracy into a #Ruthless #Autocracy and now has focused his #Lying #Cheating‚Ä¶ https://t.co/W0gTc4gZLb",FALSE,1,NA,2016-12-19 00:47:11,TRUE,NA,"810647635136802817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DocmskMarc",1,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/767699045271887872/LxQuz1rc_normal.jpg"
"27","Nostalgic for pre-#Trump times, March 3, 2013. https://t.co/w7a1jsjXAo",FALSE,13,NA,2016-12-19 00:46:06,FALSE,NA,"810647361110364160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JeffreyGuterman",1,FALSE,FALSE,NA,NA,"Global","en","http://pbs.twimg.com/profile_images/733422221889179648/rrTOT7vZ_normal.jpg"
"28","@Yamiche what is 'universal access'? this kind of vague reporting is y women who voted for #Trump is rushing to PP for contraception #karma",FALSE,0,"Yamiche",2016-12-19 00:30:29,FALSE,"809579451407167488","810643428883202048","89887215","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCarpetFL",0,FALSE,FALSE,NA,NA,"Miami, Florida","en","http://pbs.twimg.com/profile_images/452913050379505664/5qcLL3Li_normal.jpeg"
"29","#Masculinity - misunderstood and misrepresented in the #Trump era.
https://t.co/3kavS2bnvO @drdavidfawcett https://t.co/S7LeEmBMyx",FALSE,1,NA,2016-12-19 00:30:01,FALSE,NA,"810643311190884352",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","LustMenMeth",1,FALSE,FALSE,NA,NA,"Fort Lauderdale, FL","en","http://pbs.twimg.com/profile_images/656871767642886144/gQeKg2gR_normal.jpg"
"30","The USA is in danger of war from without &amp; within. We must stop this now!
#Trump #Treason @ElectoralCollge #patriot
https://t.co/HPjcaHtZd2",FALSE,0,NA,2016-12-19 00:17:53,FALSE,NA,"810640259365081092",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tbella123",0,FALSE,FALSE,NA,NA,"London & Miami","en","http://pbs.twimg.com/profile_images/807977843179343873/ODmB4xmS_normal.jpg"
"31","#Trump/Pence will mean a reign of terror ON TOP of a reign of terror against Black people. #NoFascistUSA",FALSE,0,NA,2016-12-19 00:06:01,FALSE,NA,"810637274186661888",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kaminl",0,FALSE,FALSE,NA,NA,"Miami, FL","en","http://pbs.twimg.com/profile_images/807673067203768320/37YRjRG5_normal.jpg"
"32","#Trump could end up in PRISON for soliciting illegal FOREIGN donations.  #LOCKHIMUP 

https://t.co/cffVtOLxxA",FALSE,0,NA,2016-12-18 23:40:45,FALSE,NA,"810630915009511424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Soledad_Haren",0,FALSE,FALSE,NA,NA,"New York, LA, Miami","en","http://pbs.twimg.com/profile_images/705081434/Haren_Pic_normal.JPG"
"33","They covered my favorite painting in #wynwood, but this one is amazing too. #miami #trump @‚Ä¶ https://t.co/2sAzv1Wxkb",FALSE,0,NA,2016-12-18 23:25:30,FALSE,NA,"810627077972066305",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","tonymatthewsII",0,FALSE,FALSE,"-80.1990656","25.80094537","Miami Beach, FL","en","http://pbs.twimg.com/profile_images/737346893647360005/OlYlyQeN_normal.jpg"
"34","@DiamondandSilk Agree Ì†ΩÌ≤Ø Ì†ºÌ∑∫Ì†ºÌ∑∏Ì†ºÌ∑∫Ì†ºÌ∑∏Ì†ΩÌ±çÌ†ºÌ∑∫Ì†ºÌ∑∏Ì†ºÌ∑∫Ì†ºÌ∑∏ #TrumpPresident #MakeAmericaGreatAgain #AmericaFirst #TrumpTrain #MAGA #VPEOTUS‚Ä¶ https://t.co/qEk8rqfV7W",FALSE,13,"DiamondandSilk",2016-12-18 23:21:00,TRUE,"810625356130566144","810625943605772289","2908170952","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BelkysSpainUSA",5,FALSE,FALSE,NA,NA,"Miami, FL","es","http://pbs.twimg.com/profile_images/801241040984358912/AEwFthmn_normal.jpg"
"35","RT @keywestcliff2: Wear a Merry Christmas shirt, cross necklace, #Trump hat, shoot every Muslim thug who attacks you. Self Defense.",FALSE,0,NA,2016-12-18 23:06:34,FALSE,NA,"810622312294842368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sewpc123",2,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/588415910144184320/wxOft6bq_normal.jpg"
"36","RT @keywestcliff2: @TEN_GOP Oh no, #Russians cause #Trump to waste water!",FALSE,0,NA,2016-12-18 23:04:42,FALSE,NA,"810621842377424898",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Merry__Can",29,TRUE,FALSE,NA,NA,"#democRATS & #RINO's suck","en","http://pbs.twimg.com/profile_images/639196069318950912/BHYDMHc4_normal.jpg"
"37","Donald #Trump's Team Tones Down Skepticism on Russia Hacking ... :...https://t.co/K6q2vnv1Jc",FALSE,0,NA,2016-12-18 23:02:06,FALSE,NA,"810621188879896580",NA,"<a href=""http://twitraf.ven.bz"" rel=""nofollow"">VenezuelaFlash</a>","UsaFlash",0,FALSE,FALSE,NA,NA,"Miami - USA","es","http://pbs.twimg.com/profile_images/1236900470/UsaFlash_normal.gif"
"38","RT @keywestcliff2: Wear a Merry Christmas shirt, cross necklace, #Trump hat, shoot every Muslim thug who attacks you. Self Defense.",FALSE,0,NA,2016-12-18 23:01:38,FALSE,NA,"810621072672522242",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","keywestcliff2",2,TRUE,FALSE,NA,NA,"Key West, FL","en","http://pbs.twimg.com/profile_images/689487811913756672/R5l504ZY_normal.jpg"
"39","Wear a Merry Christmas shirt, cross necklace, #Trump hat, shoot every Muslim thug who attacks you. Self Defense.",FALSE,2,NA,2016-12-18 23:00:50,FALSE,NA,"810620869093560320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","keywestcliff2",2,FALSE,FALSE,NA,NA,"Key West, FL","en","http://pbs.twimg.com/profile_images/689487811913756672/R5l504ZY_normal.jpg"
