"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","RT @DeTroyes1: After #ElectoralCollege votes for #Trump, next Dem excuse will be to find some BS reason as to why congress shouldn't accept…",FALSE,0,NA,2016-12-19 05:19:46,FALSE,NA,"810716232970305536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hotdogrusty",1,TRUE,FALSE,NA,NA,"San Franisco","en","http://pbs.twimg.com/profile_images/802170737905668096/Rp2v8LRo_normal.jpg"
"2","Jews who Demonize Bannon And Legitimize Iran - https://t.co/8vDAWZ1q1K #news #politics #clinton #trump #follow",FALSE,0,NA,2016-12-19 05:19:00,FALSE,NA,"810716037628895232",NA,"<a href=""http://scooprocket.com"" rel=""nofollow"">ScoopRocket WordTwit App</a>","ScoopRocket",0,FALSE,FALSE,NA,NA,"Chicago","en","http://pbs.twimg.com/profile_images/647420453930168322/5qqwWs4r_normal.jpg"
"3","Coast Guard plucks four sailors from icy waters off Annapolis after b…  - https://t.co/gJ7Wgm5s2F #news #politics #clinton #trump #follow",FALSE,0,NA,2016-12-19 05:18:09,FALSE,NA,"810715823413215232",NA,"<a href=""http://scooprocket.com"" rel=""nofollow"">ScoopRocket WordTwit App</a>","ScoopRocket",0,FALSE,FALSE,NA,NA,"Chicago","en","http://pbs.twimg.com/profile_images/647420453930168322/5qqwWs4r_normal.jpg"
"4","RT @valsthewoman: #TrumpTrain #MAGA #FlashbackFriday #deplorables #Trump2016 #Trump Proudly uniting under @Patriot_Voices to make sure #The…",FALSE,0,NA,2016-12-19 05:18:02,FALSE,NA,"810715793155559424",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","wadesours",5,TRUE,FALSE,NA,NA,"Port Charlotte, Florida","en","http://pbs.twimg.com/profile_images/1082556232/Resize_normal.jpg"
"5","After #ElectoralCollege votes for #Trump, next Dem excuse will be to find some BS reason as to why congress shouldn't accept results on 1/6.",FALSE,1,NA,2016-12-19 05:12:52,FALSE,NA,"810714494334857216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DeTroyes1",1,FALSE,FALSE,NA,NA,"Chicago","en","http://pbs.twimg.com/profile_images/1867115639/don_quixote_bigger_normal.gif"
"6","John McCain: Russian hacks threaten to ‘destroy democracy’ - https://t.co/jsrBq0dbrC #news #politics #clinton #trump #follow",FALSE,0,NA,2016-12-19 05:11:06,FALSE,NA,"810714049885286400",NA,"<a href=""http://scooprocket.com"" rel=""nofollow"">ScoopRocket WordTwit App</a>","ScoopRocket",0,FALSE,FALSE,NA,NA,"Chicago","en","http://pbs.twimg.com/profile_images/647420453930168322/5qqwWs4r_normal.jpg"
"7","Aldridge leads Spurs past Pelicans - https://t.co/nRv6TIisqe #news #politics #clinton #trump #follow",FALSE,0,NA,2016-12-19 05:00:56,FALSE,NA,"810711492123238400",NA,"<a href=""http://scooprocket.com"" rel=""nofollow"">ScoopRocket WordTwit App</a>","ScoopRocket",0,FALSE,FALSE,NA,NA,"Chicago","en","http://pbs.twimg.com/profile_images/647420453930168322/5qqwWs4r_normal.jpg"
"8","RT @valsthewoman: #TrumpTrain #MAGA #FlashbackFriday #deplorables #Trump2016 #Trump Proudly uniting under @Patriot_Voices to make sure #The…",FALSE,0,NA,2016-12-19 05:00:54,FALSE,NA,"810711483306967040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BlueCollarUS",5,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/797649699968684032/v8uJjtnx_normal.jpg"
"9","Beijing sees U.S. drone as part of South China Sea spying efforts - https://t.co/OUnMKc3X9P #news #politics #clinton #trump #follow",FALSE,0,NA,2016-12-19 05:00:35,FALSE,NA,"810711404122546176",NA,"<a href=""http://scooprocket.com"" rel=""nofollow"">ScoopRocket WordTwit App</a>","ScoopRocket",0,FALSE,FALSE,NA,NA,"Chicago","en","http://pbs.twimg.com/profile_images/647420453930168322/5qqwWs4r_normal.jpg"
"10","By Attacking the #Press, Donald #Trump May Be Doing It a Favor https://t.co/yWHUaTcgwL  #Journalism #journalists #news #media #democracy",FALSE,0,NA,2016-12-19 04:50:28,FALSE,NA,"810708855609061376",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","melodyMN",0,FALSE,FALSE,NA,NA,"Chicago, IL","en","http://pbs.twimg.com/profile_images/455944953344950272/d7XWjRx__normal.png"
