"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","#world Mossad Chief Briefs #Trump Staff in Secret Meeting https://t.co/nVZmLJ7Tcu #israel",FALSE,0,NA,2016-12-19 04:28:03,FALSE,NA,"810703215364866048",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>","historyscoper",0,FALSE,FALSE,NA,NA,"Colo. USA","en","http://pbs.twimg.com/profile_images/1083007801/god_angry_normal.jpg"
"2","#world Jewish Elector Says No Chance Donald #Trump Will Lose Electoral College Vote https://t.co/82urwFhOf0",FALSE,0,NA,2016-12-19 03:28:43,FALSE,NA,"810688284695334912",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>","historyscoper",0,FALSE,FALSE,NA,NA,"Colo. USA","en","http://pbs.twimg.com/profile_images/1083007801/god_angry_normal.jpg"
"3","#world DONALD #TRUMP REMAINS ‘FIRMLY COMMITTED’ TO MOVING U.S. EMBASSY FROM TEL AVIV TO… https://t.co/bxIbPOqunk",FALSE,0,NA,2016-12-19 03:20:09,FALSE,NA,"810686127690698752",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>","historyscoper",0,FALSE,FALSE,NA,NA,"Colo. USA","en","http://pbs.twimg.com/profile_images/1083007801/god_angry_normal.jpg"
"4","#world Electoral College Members Duped By Russian Hacker Hysteria – OpEd https://t.co/81l97F6VtD #russia #trump",FALSE,0,NA,2016-12-19 03:20:07,FALSE,NA,"810686119897661441",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>","historyscoper",0,FALSE,FALSE,NA,NA,"Colo. USA","en","http://pbs.twimg.com/profile_images/1083007801/god_angry_normal.jpg"
"5","#world INTELLIGENCE INSIDER: RUSSIAN HACK STORY IS A GIANT HOAX https://t.co/Tpv7gtit5X #russia #trump",FALSE,0,NA,2016-12-19 03:20:05,FALSE,NA,"810686111861370880",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>","historyscoper",0,FALSE,FALSE,NA,NA,"Colo. USA","en","http://pbs.twimg.com/profile_images/1083007801/god_angry_normal.jpg"
"6","#world INSIDER EXPOSES ELITES’ PLAN TO OVERTHROW #TRUMP https://t.co/GWQEdavtMh",FALSE,0,NA,2016-12-19 03:20:03,FALSE,NA,"810686104190025730",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>","historyscoper",0,FALSE,FALSE,NA,NA,"Colo. USA","en","http://pbs.twimg.com/profile_images/1083007801/god_angry_normal.jpg"
"7","#world WILL “COUP D’ETAT” OVERTURN #TRUMP? NWO losing control https://t.co/gglzpG4nyl",FALSE,0,NA,2016-12-19 03:06:07,FALSE,NA,"810682598557093889",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>","historyscoper",0,FALSE,FALSE,NA,NA,"Colo. USA","en","http://pbs.twimg.com/profile_images/1083007801/god_angry_normal.jpg"
"8","""Next up: Kim Jong-un as U.S. press secretary?  Cruella de Vil at Humane Society?"" Pax Americana Is Over https://t.co/Dsd3RSM5jv #Trump",FALSE,1,NA,2016-12-19 01:16:35,FALSE,NA,"810655031515115520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TylerPriest64",2,FALSE,FALSE,NA,NA,"University of Iowa","en","http://pbs.twimg.com/profile_images/745262405177876481/2Xy_zMy3_normal.jpg"
"9","I said early-on that #Clinton energized support for #Trump, and vice-versa. The intelligent were abandoned by both parties.",FALSE,0,NA,2016-12-19 00:10:39,FALSE,NA,"810638439272116224",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Twitchypoo1",0,FALSE,FALSE,NA,NA,"Des Moines, IA","en","http://pbs.twimg.com/profile_images/707122325750026240/_eynA4t2_normal.jpg"
"10","I still can't tell which is worse, #Trump or #Clinton. Both would make terrible Presidents. https://t.co/unHhl1bm5S",FALSE,0,NA,2016-12-19 00:05:41,FALSE,NA,"810637187784044544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Twitchypoo1",0,FALSE,FALSE,NA,NA,"Des Moines, IA","en","http://pbs.twimg.com/profile_images/707122325750026240/_eynA4t2_normal.jpg"
"11","Anyone but #Hillary or #Trump. https://t.co/EFsILsReH0",FALSE,0,NA,2016-12-18 23:43:59,FALSE,NA,"810631728092090368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Twitchypoo1",0,FALSE,FALSE,NA,NA,"Des Moines, IA","en","http://pbs.twimg.com/profile_images/707122325750026240/_eynA4t2_normal.jpg"
"12","@igorvolsky @RiseUpAbove #Trump @realDonaldTrump Trump did Not win the popular vote. this information is correct, Trump voters.",FALSE,1,"igorvolsky",2016-12-18 21:22:30,FALSE,NA,"810596122607714305","16002085","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JacquiM505",0,FALSE,FALSE,NA,NA,"Des Moines Iowa","en","http://pbs.twimg.com/profile_images/802918067047120896/c2qTtupW_normal.jpg"
"13","#world #Trump Wants to Shake Up the World Order? Here’s Where He Should Start https://t.co/5H1gDsBej1",FALSE,0,NA,2016-12-18 20:10:59,FALSE,NA,"810578123754381312",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>","historyscoper",0,FALSE,FALSE,NA,NA,"Colo. USA","en","http://pbs.twimg.com/profile_images/1083007801/god_angry_normal.jpg"
