"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","RT @Pamela_Moore13: #Trump: ""Michelle Obama said that there's no hope, but I assume she was talking about the past, not the future""

Let's…",FALSE,0,NA,2016-12-19 05:15:19,FALSE,NA,"810715110301896704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mean_Sum_Bitch",668,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/803468958397583360/D6lNeOd5_normal.jpg"
"2","RT @chuckwoolery: HEADLINE IS #Electors are under #SIEGE! #America has been under Siege by the #Progressives for the last 8yrs. Why #Trump…",FALSE,0,NA,2016-12-19 05:04:57,FALSE,NA,"810712501163884544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JPrusasky",104,TRUE,FALSE,NA,NA,"Pennsylvania, USA","en","http://pbs.twimg.com/profile_images/797070034455642114/l4q8RZE1_normal.jpg"
"3","RT @cd0012: When U have #Trump ON TAPE ASKING #RUSSIA 2 hack into our computers &amp; then denies complicity N hack, U know America has elected…",FALSE,0,NA,2016-12-19 05:04:45,FALSE,NA,"810712453936009217",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dakan001",1,TRUE,FALSE,NA,NA,"Mesquite, TX","en","http://pbs.twimg.com/profile_images/780151640124903424/qiW5QdKH_normal.jpg"
"4","RT @chuckwoolery: HEADLINE IS #Electors are under #SIEGE! #America has been under Siege by the #Progressives for the last 8yrs. Why #Trump…",FALSE,0,NA,2016-12-19 05:04:41,FALSE,NA,"810712434562441216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hotdogrusty",104,TRUE,FALSE,NA,NA,"San Franisco","en","http://pbs.twimg.com/profile_images/802170737905668096/Rp2v8LRo_normal.jpg"
"5","RT @janeray777: MSM hypocrisy is too much! MSM helped elect #Trump by feasting daily on Putin's #hacked emails &amp; loved it! #Russiagate #Put…",FALSE,0,NA,2016-12-19 05:03:37,FALSE,NA,"810712166303207424",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ilrahmawat1",2,TRUE,FALSE,NA,NA,"usa","en","http://pbs.twimg.com/profile_images/780181014098374656/NPZGBjUT_normal.jpg"
"6","I'm glad a foreign government attempting to mess with our elections is nonsense. I feel better now. #Trump https://t.co/WL8w0Co8kr",FALSE,0,NA,2016-12-19 05:02:19,FALSE,NA,"810711839361339392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","defendsthepeeps",0,FALSE,FALSE,NA,NA,"Oregon","en","http://pbs.twimg.com/profile_images/3299458727/0c6e4cd18a705d97509c6697f770717c_normal.jpeg"
"7","RT @MhorRioghain33: #TRUMP trying to hide #TrumpLeaks or Till's biz Russian connctns, disuade #ElectoralCollege or other lies re: Putin. It…",FALSE,0,NA,2016-12-19 04:50:50,FALSE,NA,"810708948038877185",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","touraloura",1,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/745738346786238464/QvGqBtjX_normal.jpg"
"8","RT @chuckwoolery: Ultimately #Trump will be judged on what he does, not on what #Democrats say about him. Waiting along with you.",FALSE,0,NA,2016-12-19 04:49:55,FALSE,NA,"810708718639837184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","newbirth1960",147,TRUE,FALSE,NA,NA,"Athens, GA","en","http://pbs.twimg.com/profile_images/413451841460916224/vx2WoWSC_normal.jpeg"
"9","RT @MsRachelWolf: Even when their lives fall apart due to #Shitler #Trump, #Deplorables will still hail him as a savior. They're beyond sav…",FALSE,0,NA,2016-12-19 04:49:53,FALSE,NA,"810708710154612736",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","anne_stephen5",6,TRUE,FALSE,NA,NA,"Las Vegas, NV","en","http://pbs.twimg.com/profile_images/741670211984580608/dLJmNxEO_normal.jpg"
"10","EXACTLY why the #GOP, #Russia, #Trump all work together. Just to built their empire on top of everybody's graves. https://t.co/VbJ1Zxf7mK",FALSE,0,NA,2016-12-19 04:49:04,FALSE,NA,"810708506756186112",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Tian_El",0,FALSE,FALSE,NA,NA,"USA, Cleveland","en","http://pbs.twimg.com/profile_images/763617156097568768/C-9nMoGw_normal.jpg"
"11","RT @PoliticsGhost: Hillary actually had an estimated 3 to 4 million illegal immigrants &amp; numerous dead people vote for her. #Trump still be…",FALSE,0,NA,2016-12-19 04:43:35,FALSE,NA,"810707127111188480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MudflapDB",23,TRUE,FALSE,NA,NA,"Mudflap#21299","en","http://pbs.twimg.com/profile_images/808164254461362176/6ESrwTxB_normal.jpg"
"12","RT @Pamela_Moore13: #Trump: ""Michelle Obama said that there's no hope, but I assume she was talking about the past, not the future""

Let's…",FALSE,0,NA,2016-12-19 04:43:19,FALSE,NA,"810707056193925124",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ealect1",668,TRUE,FALSE,NA,NA,"","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_4_normal.png"
